X,Y,distance_from_Goolwa
343906.237,6038799.711,54350
343954.014,6038784.971,54400
344001.48,6038769.258,54450
344048.614,6038752.576,54500
344095.397,6038734.934,54550
344141.809,6038716.338,54600
344187.832,6038696.797,54650
344233.445,6038676.318,54700
344278.629,6038654.911,54750
344323.366,6038632.583,54800
344367.637,6038609.345,54850
344411.423,6038585.207,54900
344454.706,6038560.177,54950
344497.469,6038534.268,55000
344539.692,6038507.489,55050
344581.358,6038479.851,55100
344622.451,6038451.367,55150
344662.952,6038422.049,55200
344702.844,6038391.908,55250
344742.112,6038360.957,55300
344780.739,6038329.21,55350
344818.708,6038296.678,55400
344856.003,6038263.377,55450
344892.609,6038229.32,55500
344928.511,6038194.521,55550
344963.694,6038158.995,55600
344998.142,6038122.757,55650
345031.842,6038085.821,55700
345077.406,6038065.864,55750
345123.572,6038046.664,55800
345169.639,6038027.226,55850
345215.606,6038007.553,55900
345261.471,6037987.643,55950
345307.233,6037967.498,56000
345352.891,6037947.119,56050
345398.444,6037926.505,56100
345443.89,6037905.657,56150
345489.229,6037884.576,56200
345534.459,6037863.263,56250
345579.579,6037841.718,56300
345624.587,6037819.941,56350
345669.483,6037797.934,56400
345714.266,6037775.696,56450
345758.934,6037753.228,56500
345803.485,6037730.531,56550
345847.92,6037707.606,56600
345892.236,6037684.453,56650
345936.433,6037661.072,56700
345980.509,6037637.465,56750
346024.463,6037613.632,56800
346068.294,6037589.573,56850
346112.001,6037565.29,56900
346155.583,6037540.782,56950
346199.038,6037516.051,57000
346242.366,6037491.097,57050
346285.565,6037465.921,57100
346328.634,6037440.523,57150
346371.572,6037414.905,57200
346414.378,6037389.066,57250
346457.051,6037363.008,57300
346499.589,6037336.731,57350
346541.992,6037310.236,57400
346584.258,6037283.523,57450
346626.387,6037256.594,57500
346668.376,6037229.448,57550
346710.226,6037202.087,57600
346751.934,6037174.512,57650
346793.501,6037146.723,57700
346834.924,6037118.721,57750
346876.203,6037090.506,57800
346917.336,6037062.08,57850
346958.322,6037033.443,57900
346999.162,6037004.596,57950
347039.852,6036975.539,58000
347080.393,6036946.274,58050
347120.782,6036916.801,58100
347161.02,6036887.121,58150
347201.105,6036857.234,58200
347241.036,6036827.142,58250
347280.812,6036796.846,58300
347320.431,6036766.345,58350
347359.894,6036735.642,58400
347399.198,6036704.736,58450
347438.343,6036673.629,58500
347477.328,6036642.321,58550
347516.151,6036610.813,58600
347554.813,6036579.107,58650
347593.31,6036547.202,58700
347631.644,6036515.1,58750
347669.812,6036482.801,58800
347707.813,6036450.307,58850
347745.647,6036417.618,58900
347783.313,6036384.735,58950
347820.81,6036351.659,59000
347858.136,6036318.391,59050
347895.291,6036284.932,59100
347932.273,6036251.282,59150
347969.082,6036217.443,59200
348005.717,6036183.416,59250
348042.176,6036149.2,59300
348078.46,6036114.798,59350
348114.566,6036080.21,59400
348150.494,6036045.437,59450
348186.243,6036010.479,59500
348221.812,6035975.339,59550
348257.2,6035940.017,59600
348292.406,6035904.513,59650
348327.429,6035868.829,59700
348362.269,6035832.965,59750
348396.924,6035796.923,59800
348431.393,6035760.703,59850
348465.676,6035724.307,59900
348499.772,6035687.735,59950
348533.679,6035650.989,60000
348567.397,6035614.069,60050
348600.925,6035576.976,60100
348634.262,6035539.712,60150
348667.407,6035502.277,60200
348700.36,6035464.672,60250
348733.119,6035426.898,60300
348765.683,6035388.957,60350
348798.052,6035350.849,60400
348830.226,6035312.575,60450
348862.202,6035274.136,60500
348893.98,6035235.534,60550
348925.559,6035196.769,60600
348956.939,6035157.842,60650
348988.119,6035118.755,60700
349019.098,6035079.508,60750
349049.874,6035040.103,60800
349080.448,6035000.539,60850
349110.818,6034960.82,60900
349140.984,6034920.945,60950
349170.944,6034880.915,61000
349200.699,6034840.732,61050
349230.247,6034800.397,61100
349259.587,6034759.911,61150
349288.719,6034719.274,61200
349317.642,6034678.489,61250
349346.355,6034637.555,61300
349374.857,6034596.475,61350
349403.148,6034555.248,61400
349431.227,6034513.877,61450
349459.093,6034472.363,61500
349486.746,6034430.705,61550
349514.184,6034388.906,61600
349541.407,6034346.967,61650
349568.414,6034304.889,61700
349595.205,6034262.672,61750
349621.779,6034220.318,61800
349648.135,6034177.829,61850
349674.272,6034135.204,61900
349700.19,6034092.446,61950
349725.888,6034049.556,62000
349751.365,6034006.534,62050
349776.621,6033963.381,62100
349801.656,6033920.1,62150
349826.467,6033876.69,62200
349851.055,6033833.154,62250
349875.42,6033789.492,62300
349899.56,6033745.705,62350
349923.474,6033701.795,62400
349947.163,6033657.763,62450
349970.625,6033613.61,62500
349993.86,6033569.337,62550
350016.868,6033524.945,62600
350039.647,6033480.435,62650
350062.197,6033435.809,62700
350084.518,6033391.068,62750
350106.609,6033346.213,62800
350128.469,6033301.244,62850
350150.098,6033256.165,62900
350171.495,6033210.974,62950
350192.659,6033165.675,63000
350213.591,6033120.267,63050
350234.289,6033074.752,63100
